Ahwatukee	,	true	,	1444
Allentown	,	true	,	38
Anjou	,	true	,	92
Anthem	,	true	,	4447
Apache Junction	,	true	,	2402
Arcadia	,	true	,	74
Aspinwall	,	true	,	225
Avondale	,	true	,	22887
Baie-D'urfe	,	true	,	4
Beaconsfield	,	true	,	25
Bellevue	,	true	,	267
Bellvue	,	true	,	6
Belmont	,	true	,	2240
Black Canyon City	,	true	,	946
Blainville	,	true	,	8
Blawnox	,	true	,	178
Bloomfield	,	true	,	5
Boisbriand	,	true	,	21
Bonnyrigg and Lasswade	,	true	,	5
Boucherville	,	true	,	27
Boulder City	,	true	,	776
Braddock	,	true	,	154
Brentwood	,	true	,	30
Bridgeville	,	true	,	472
Brookline	,	true	,	21
Brossard	,	true	,	358
Buckeye	,	true	,	3363
C Las Vegas	,	true	,	255
Cambridge	,	true	,	32
Carefree	,	true	,	1504
Carnegie	,	true	,	1584
Casa Grande	,	true	,	3650
Castle Shannon	,	true	,	38
Cave Creek	,	true	,	9620
Centennial Hills	,	true	,	322
Central	,	true	,	30
Central City Village	,	true	,	100
Central Henderson	,	true	,	243
Champaign	,	true	,	14649
Chandler	,	true	,	186630
Charlotte	,	true	,	348097
City of Edinburgh	,	true	,	8
Clark	,	true	,	36
Clover	,	true	,	117
Columbus	,	true	,	49
Concord	,	true	,	10626
Concord Mills	,	true	,	88
Conestogo	,	true	,	8
Coolidge	,	true	,	120
Cornwell Development	,	true	,	11
Cote-Saint-Luc	,	true	,	12
Cottage Grove	,	true	,	159
Crafton	,	true	,	124
Dalgety Bay	,	true	,	6
Dalkeith	,	true	,	34
Dallas	,	true	,	2851
De Forest	,	true	,	173
DeForest	,	true	,	157
Desert Ridge	,	true	,	94
Dollard-Des Ormeaux	,	true	,	10
Dollard-Des-Ormeaux	,	true	,	329
Dollard-des-Ormeaux	,	true	,	295
Dormont	,	true	,	143
Dorval	,	true	,	603
Downtown	,	true	,	66
Edgewood	,	true	,	13
Edinburgh	,	true	,	45793
Eggenstein-Leopoldshafen	,	true	,	17
El Mirage	,	true	,	758
Enterprise	,	true	,	2339
Ettlingen	,	true	,	49
Firth of Forth	,	true	,	7
Fitchburg	,	true	,	5493
Florence	,	true	,	621
Fort Kinnaird	,	true	,	42
Fort McDowell	,	true	,	1178
Fort Mcdowell	,	true	,	5
Fort Mill	,	true	,	7324
Fort mill	,	true	,	16
Fountain Hills	,	true	,	5918
Ft. Mill	,	true	,	152
Gila Bend	,	true	,	1042
Gilbert	,	true	,	121550
Glendale	,	true	,	103409
Glendale Az	,	true	,	204
Gold Canyon	,	true	,	1111
Golden Square Mile	,	true	,	15
Goodyear	,	true	,	30010
Green Tree	,	true	,	108
Greenfield Park	,	true	,	35
Guadalupe	,	true	,	525
Harrisburg	,	true	,	543
Heidelberg	,	true	,	47
Henderson	,	true	,	284498
Henderson and Las vegas	,	true	,	11
Henderston	,	true	,	16
Higley	,	true	,	198
Homestead	,	true	,	5750
Huntersville	,	true	,	1124
Indian Land	,	true	,	379
Indian Trail	,	true	,	929
Juniper Green	,	true	,	7
Karlsruhe	,	true	,	1686
Kirkland	,	true	,	66
Kitchener	,	true	,	2081
L'Île-Bizard	,	true	,	11
La Paz	,	true	,	20
La Prairie	,	true	,	37
LaSalle	,	true	,	32
Lachine	,	true	,	242
Lake Wylie	,	true	,	375
Las Vegas	,	true	,	2859013
Las Vegas 	,	true	,	65
Las Vegas, NV	,	true	,	36
Lasalle	,	true	,	365
Lasswade	,	true	,	58
Laval	,	true	,	1820
Laveen	,	true	,	3945
Lawrenceville	,	true	,	297
Leith	,	true	,	147
Litchfield Park	,	true	,	4286
Litchfield Park 	,	true	,	45
Loanhead	,	true	,	31
Longueuil	,	true	,	46
Lower Lawrenceville	,	true	,	406
Madison	,	true	,	92003
Maricopa	,	true	,	3405
Mascouche	,	true	,	9
Mattews	,	true	,	4
Matthews	,	true	,	11491
Mc Farland	,	true	,	141
Mc Kees Rocks	,	true	,	36
McAdenville	,	true	,	12
McFarland	,	true	,	34
McKees Rocks	,	true	,	98
McKeesport	,	true	,	6
Mcfarland	,	true	,	36
Mckees Rocks	,	true	,	35
Mesa	,	true	,	160169
Middleton	,	true	,	6209
Midlothian	,	true	,	54
Millvale	,	true	,	37
Mint Hill	,	true	,	668
Mirabel	,	true	,	39
Monona	,	true	,	1631
